,Agent,Home Type,Year Built,Address,Bedrooms,Bathrooms,Square Feet,Price,Sold Date,Sold Price
60,,single_family,2005.0,17959 SW Camas St,2.0,3.0,3049.0,429900.0,2020-01-21,305000.0
61,,single_family,1977.0,9120 SW Pony Pl,3.0,2.0,14375.0,650000.0,2022-05-03,435000.0
62,,single_family,1987.0,2260 NW 160th Ave,5.0,3.0,6534.0,750000.0,2011-07-25,319500.0
63,,single_family,1974.0,18735 SW Honeywood Dr,3.0,2.0,9583.0,585000.0,2018-06-21,454000.0
64,,single_family,2022.0,86 SW Pyramid Ter,3.0,3.0,,649990.0,,
65,,single_family,1995.0,16721 NW Paddington Dr,3.0,3.0,5663.0,715000.0,1995-10-31,190464.0
66,,single_family,1989.0,10525 SW 161st Ct,5.0,3.0,7841.0,785000.0,2015-01-20,497000.0
67,,single_family,2022.0,65 SW Doubletop Dr Unit 65,4.0,3.0,,682990.0,,
68,,single_family,2022.0,12260 SW Strobel Rd,3.0,3.0,5755.0,925580.0,,
69,,townhomes,2003.0,16024 SW Gage Ln,3.0,3.0,871.0,439500.0,2017-08-03,321000.0
70,,single_family,1995.0,7486 SW 208th Pl,4.0,3.0,6098.0,649000.0,2018-04-10,460000.0
71,,condos,2005.0,16265 SW Blue Goose Ln,3.0,3.0,,469000.0,2005-05-31,226602.0
72,,single_family,1999.0,21581 SW Frammy Way,3.0,2.0,4792.0,599000.0,2020-09-02,389500.0
73,,condos,2012.0,11830 NW Holly Springs Ln Unit 304,2.0,2.0,,350000.0,2019-12-19,234000.0
74,,townhomes,1971.0,7460 SW Wilson Ct,2.0,2.0,,419810.0,2020-07-29,259500.0
75,,townhomes,2005.0,8700 SW 147th Ter Unit 102,2.0,3.0,,382500.0,2020-04-20,282450.0
76,,single_family,2022.0,12246 SW Strobel Rd,3.0,3.0,,930740.0,,
77,,condos,1986.0,9365 SW 146th Ter Apt 3,2.0,2.0,,309900.0,2010-03-15,120000.0
78,,mobile,1976.0,375 SW Liberty Bell Dr,2.0,2.0,,89000.0,1989-12-12,4016058.0
79,,single_family,2013.0,580 NW Lost Springs Ter Unit 304,2.0,2.0,,345000.0,2020-03-24,265000.0
80,,single_family,1978.0,9330 SW Downing Dr,2.0,2.0,3920.0,425000.0,2018-09-19,230000.0
81,,single_family,1995.0,3241 SW Alicia Pl,3.0,3.0,3920.0,449900.0,2016-12-20,285000.0
82,,single_family,1948.0,11725 SW 13th St,3.0,2.0,8276.0,500000.0,2018-02-05,290000.0
83,,townhomes,2022.0,17104 SW Albatross Ln Lot 4,3.0,3.0,2178.0,624950.0,,
84,,single_family,2014.0,10495 SW Crestwood Dr,3.0,3.0,4356.0,670000.0,2014-02-28,210000.0
85,,single_family,1967.0,6470 SW Elm Ave,3.0,2.0,8712.0,699000.0,,
86,,single_family,2018.0,16859 SW Larkspring Ln,4.0,3.0,,789000.0,2018-06-15,548436.0
87,,single_family,2022.0,2763 SW Maycrest Ter,3.0,3.0,,596950.0,,
88,,single_family,2022.0,2749 SW Maycrest Ter,3.0,3.0,,569950.0,,
89,,single_family,1963.0,10370 SW Cynthia St,4.0,2.0,18295.0,915000.0,2015-08-14,540000.0
90,,single_family,1989.0,754 SW 175th Pl,3.0,3.0,6534.0,625000.0,2018-01-10,380000.0
91,,single_family,,12802 SW Incline Drive,4.0,,,658990.0,,
92,,single_family,,Tbd Sw Doubletop Dr Lot 67,4.0,3.0,,684990.0,,
93,,single_family,1992.0,1067 SW Tobias Way,3.0,2.0,6098.0,549000.0,2018-09-07,372500.0
94,,condos,2003.0,13720 SW Scholls Ferry Rd Unit 101,3.0,3.0,,425000.0,2015-07-09,219900.0
95,,single_family,1978.0,8710 SW Indian Hill Ln,4.0,2.0,9583.0,544999.0,1978-05-01,57900.0
96,,single_family,1982.0,6723 SW 153rd Ave,3.0,2.0,8712.0,469900.0,2001-01-12,168600.0
97,,single_family,1997.0,16530 SW Whitetail Ln,5.0,4.0,9583.0,929900.0,2012-10-26,409800.0
98,,single_family,1995.0,10275 SW Shearwater Loop,4.0,3.0,7841.0,679000.0,2010-07-08,355000.0
99,,single_family,1948.0,12225 SW Greenwood St,4.0,2.0,9583.0,625000.0,2017-11-30,434000.0
100,,single_family,1987.0,7105 SW Kaufman Dr,4.0,3.0,5663.0,574900.0,2020-04-09,414000.0
101,,single_family,1997.0,19673 SW Boulder Ln,4.0,3.0,8276.0,799950.0,2016-11-10,525000.0
102,,single_family,2015.0,7235 SW Capstone Ct,3.0,3.0,3049.0,475000.0,2015-12-31,313450.0
103,,single_family,2003.0,11648 SW Waterthrush Ter,2.0,3.0,,439000.0,2021-11-12,405000.0
104,,condos,2006.0,15485 SW Sparrow Loop Unit 104,2.0,3.0,,359000.0,2006-05-18,195990.0
105,,townhomes,2005.0,2476 NW Crosswater Ter,2.0,3.0,1742.0,425000.0,2017-10-12,325000.0
106,,single_family,2005.0,13090 SW Madison Ct,4.0,3.0,7405.0,899500.0,2005-05-25,460000.0
107,,single_family,1975.0,8655 SW Parkview Loop,3.0,3.0,7841.0,625000.0,2013-07-26,280000.0
108,,single_family,1989.0,17375 NW Bernard Pl,3.0,2.0,7405.0,559900.0,2007-05-15,302000.0
109,,condos,2018.0,17182 SW Appledale Rd Unit 401,3.0,2.0,,399000.0,,
110,,condos,1978.0,1585 NW Eastbrook Ct,2.0,2.0,,310000.0,2007-06-20,163000.0
111,,single_family,1950.0,13895 SW Todd St,3.0,1.0,6098.0,489000.0,2012-11-15,175000.0
112,,single_family,1982.0,2435 SW 206th Pl,3.0,2.0,5663.0,370000.0,1984-05-01,72485.0
113,,townhomes,2002.0,20669 NW Painted Mountain Dr,3.0,3.0,3049.0,449000.0,2019-06-28,325000.0
114,,townhomes,2004.0,9530 SW Lodestone Dr,3.0,3.0,1742.0,478000.0,2016-07-27,268000.0
115,,condos,2007.0,680 NW Falling Waters Ln Unit 105,2.0,2.0,,375000.0,2020-02-11,292500.0
116,,townhomes,2010.0,15900 SW Marlee Ln,3.0,3.0,2614.0,450000.0,2018-04-23,340000.0
117,,single_family,1961.0,4875 SW 192nd Ave,3.0,2.0,11761.0,549500.0,2002-07-31,175500.0
118,,single_family,2003.0,6092 SW 208th Pl,3.0,3.0,2614.0,574900.0,2019-06-28,380000.0
119,,townhomes,2006.0,1272 SW 162nd Ave,2.0,3.0,871.0,399900.0,2015-03-05,180000.0
120,,condos,2007.0,675 NW Falling Waters Ln Unit 303,1.0,1.0,,295000.0,,
121,,condos,2014.0,13895 SW Meridian St Unit 215,2.0,2.0,,334900.0,,
122,,single_family,1983.0,16184 SW Deline Ct,4.0,2.0,6970.0,615000.0,2007-08-31,284000.0
123,,single_family,1956.0,5435 SW 152nd Ave,4.0,2.0,19602.0,620000.0,2017-12-21,361500.0
124,,single_family,1999.0,7765 SW Carrollon Dr,4.0,3.0,4792.0,679990.0,2019-06-12,489950.0
125,,single_family,1998.0,1167 SW 183rd Pl,3.0,3.0,1742.0,480000.0,2013-07-08,174399.0
126,,single_family,1992.0,450 NW 167th Ave,3.0,2.0,9583.0,650000.0,1992-02-19,55200.0
127,,single_family,,12400 SW Strobel Rd,3.0,,,755990.0,,
128,,single_family,,12400 SW Strobel Rd,4.0,,,864990.0,,
129,,single_family,1926.0,1940 SW 71st Ave,5.0,6.0,21344.0,1250000.0,,
130,,single_family,2019.0,17357 SW Dotterel Ln,4.0,3.0,3485.0,849900.0,2019-10-22,599900.0
131,,single_family,1963.0,13215 SW Evergreen St,3.0,3.0,7841.0,599000.0,1992-09-10,93900.0
132,,single_family,1982.0,8309 SW Lori Way,3.0,2.0,7841.0,554900.0,1993-12-27,110000.0
133,,single_family,1972.0,13545 SW Hart Rd,4.0,2.0,4800.0,589500.0,1985-11-01,78000.0
134,,single_family,2004.0,15726 SW Snowy Owl Ln,4.0,3.0,4356.0,599900.0,2004-05-20,276383.0
135,,condos,2006.0,12780 SW Merganser Ln,3.0,3.0,,489900.0,2016-09-12,316500.0
136,,single_family,2004.0,14415 NW Pioneer Park Way,4.0,3.0,4792.0,699000.0,2016-05-20,452000.0
137,,single_family,,8 SW Strobel Rd Unit 3,3.0,3.0,,538990.0,,
138,,single_family,2014.0,14336 SW Rancher Ln,3.0,3.0,2614.0,609900.0,2019-11-22,435000.0
139,,single_family,2002.0,4339 SW Enduro Pl,3.0,3.0,4356.0,657000.0,2022-05-20,624800.0
140,,condos,1954.0,8410 SW Canyon Ln Apt 4,1.0,1.0,,200000.0,2019-10-23,169800.0
141,,condos,2005.0,14830 SW Sandhill Loop Unit 201,2.0,2.0,,365000.0,2020-07-08,268500.0
142,,single_family,,12400 SW Strobel Rd,4.0,,,823990.0,,
143,,single_family,,12400 SW Strobel Rd,3.0,,,821990.0,,
144,,single_family,2011.0,20008 SW Squire Dr,4.0,3.0,5663.0,659000.0,2015-08-19,368000.0
145,,single_family,1969.0,4600 SW 170th Ave,3.0,1.0,7405.0,456000.0,2022-04-29,427800.0
146,,single_family,1985.0,950 NW 161st Ter,4.0,4.0,8712.0,800000.0,1996-06-18,227000.0
147,,single_family,1978.0,5920 SW 161st Ave,3.0,3.0,8712.0,589900.0,2022-04-05,438750.0
148,,multi_family,1973.0,6295 SW 188th Ct,4.0,2.0,9999.0,550000.0,,
149,,single_family,1972.0,5065 SW Normandy Pl,2.0,2.0,2614.0,359000.0,2006-05-08,172500.0
150,,single_family,,Tbd Sw Doubletop Dr Lot 66,4.0,3.0,,684990.0,,
151,,single_family,1982.0,6611 SW 153rd Ave,3.0,2.0,9148.0,599900.0,2005-06-10,254900.0
152,,single_family,,12802 SW Incline Drive,3.0,,,538990.0,,
153,,single_family,,12802 SW Incline Drive,3.0,,,501990.0,,
154,,single_family,,12400 SW Strobel Rd,3.0,,,815990.0,,
155,,single_family,,Tbd Sw Doubletop Dr Lot 65,4.0,3.0,,682990.0,,
156,,single_family,1987.0,10165 SW 153rd Ave,5.0,4.0,6970.0,785300.0,2017-12-22,500000.0
157,,condos,2007.0,8838 NE Brentford Way,2.0,3.0,,375000.0,2007-10-02,218020.0
158,,single_family,2016.0,2148 NW 163rd Ter,4.0,3.0,3049.0,669999.0,2016-10-05,422215.0
159,,single_family,,8 SW Strobel Rd Unit 2,3.0,3.0,,499990.0,,
160,,condos,2009.0,11845 NW Stone Mountain Ln Unit 306,1.0,1.0,,245000.0,2011-05-27,119990.0
161,,single_family,1991.0,19595 SW Hennig St,4.0,3.0,6534.0,575000.0,2016-04-28,338000.0
162,,single_family,2005.0,9288 SW Diamond View Way,4.0,3.0,6970.0,699999.0,2018-07-18,460000.0
163,,single_family,1979.0,1860 SW 192nd Ave,3.0,2.0,8276.0,500000.0,2009-10-27,194900.0
164,,townhomes,2004.0,6305 SW 208th Ter,3.0,3.0,1742.0,410000.0,2014-05-09,175000.0
165,,townhomes,2008.0,15163 SW Canyon Wren Way,3.0,3.0,1307.0,450000.0,2008-05-07,256400.0
166,,condos,1967.0,13155 SW Allen Blvd Apt 9,2.0,1.0,,268700.0,,
167,,single_family,1990.0,7354 SW 166th Ter,3.0,3.0,6098.0,700000.0,2022-04-21,610600.0
168,,townhomes,2018.0,13243 SW 169th Ave,2.0,3.0,1742.0,445000.0,2018-08-22,385256.0
169,,single_family,2006.0,8681 SW 184th Dr,3.0,3.0,6534.0,775000.0,2009-05-01,425000.0
170,,single_family,2003.0,20590 SW Marimar St,3.0,3.0,2178.0,499000.0,2018-12-21,325100.0
171,,single_family,1950.0,6560 SW 124th Ave,2.0,1.0,9148.0,350000.0,2003-08-21,134000.0
172,,single_family,2013.0,14250 SW Compass Dr,3.0,3.0,1307.0,525000.0,2013-08-30,267964.0
173,,single_family,1984.0,6750 SW 175th Ave,3.0,2.0,7841.0,525000.0,2014-07-25,268900.0
174,,single_family,1977.0,540 SW 191st Ave,3.0,2.0,8712.0,479995.0,2020-12-15,426000.0
175,,single_family,1973.0,2005 SW 185th Ave,2.0,1.0,7405.0,350000.0,,
176,,single_family,1978.0,3838 SW 205th Ave,3.0,2.0,7405.0,539000.0,1997-03-03,110000.0
177,,single_family,1993.0,16508 SW Timberland Dr,4.0,3.0,8276.0,749900.0,2020-12-31,115000.0
178,,condos,1981.0,650 SW Meadow Dr Unit 124,3.0,2.0,,325000.0,2019-05-08,189000.0
179,,mobile,1979.0,17695 SW Declaration Way,3.0,2.0,,129000.0,1987-12-01,20000.0
180,,single_family,1989.0,3959 NW Craig Dr,4.0,2.0,6098.0,699000.0,2021-04-22,620000.0
